培训历史记录汇总
导出时间,2026-06-06 18:53:05

=== 自动化测试课程（第二场） ===
主题,自动化测试
状态,已发布
讲师,测试讲师
场地,测试场地B
时间,2026-06-20T18:53:05.007407 ~ 2026-06-20T21:53:05.007428
容量,10
报名人数,1
出勤情况,出勤0/缺勤0/未签1
--- 学员名单 ---
工号,姓名,部门,状态,签到时间
TEST001,测试学生1,测试部,未签到,


=== 自动化测试课程 ===
主题,自动化测试
状态,已发布
讲师,测试讲师
场地,测试场地
时间,2026-06-06T18:23:05.162001 ~ 2026-06-06T20:53:05.162033
容量,10
报名人数,3
出勤情况,出勤2/缺勤1/未签0
--- 学员名单 ---
工号,姓名,部门,状态,签到时间
TEST002,测试学生2,测试部,已出勤,2026-06-06T18:53:05.075555
MAKEUP01,补签通过学生,测试部,已出勤,
MAKEUP02,补签驳回学生,测试部,缺勤,


